TFSCU,$10.14,1439682902532,1,300
FLWS,$9.56,1439682902561,126,247
VNET,$20.66,1439682902591,200,730
SRCE,$31.28,1439682902655,21,517
FCCY,$11.5,1439682902672,16,670
PIH,$7.64,1439682902707,1,730
DGLD,$85.97,1439682902911,2,192
TWOU,$36.03,1439682902939,576,550
UGLD,$8.83,1439682902957,94,710
DSLV,$62.91,1439682902994,21,916
USLV,$14.535,1439682903069,190,883
FCTY,$7.61,1439682903115,4,394
JOBS,$28.7271,1439682903489,106,996
SIXD,$3.03,1439682903500,277,881
EGHT,$8.55,1439682903521,333,074
CAFD,$15.77,1439682903581,185,031
AVHI,$14.11,1439682903611,28,080
SHLM,$35.6,1439682903720,80,215
AAON,$23.23,1439682903734,51,218
ABEO,$5.35,1439682903861,186,951
ABY,$22.52,1439682903875,705,220
ABAX,$48.45,1439682903894,84,225
ABEOW,$2.13,1439682903957,1,800
ABMD,$103.92,1439682903971,557,866
ABGB,$5.07,1439682904106,74,422
AXAS,$1.81,1439682904181,379,122
ACHC,$81.02,1439682904361,311,607
ACTG,$8.57,1439682904378,116,786
ACAD,$37.88,1439682904560,571,839
ACST,$0.41,1439682904569,20,840
ANCX,$19.13,1439682904580,19,975
XLRN,$31.28,1439682904603,212,721
AXDX,$19.22,1439682904621,155,089
VXUP,$17.05,1439682904638,14,800
VXDN,$16.72,1439682904695,1,110
ARAY,$6.23,1439682904764,283,727
ACRX,$4.46,1439682904908,81,777
AKAO,$7.64,1439682904942,182,132
ACET,$25.32,1439682905063,55,221
ACHN,$7.35,1439682905117,1,246,701
ACIW,$23.03,1439682905157,255,964
ACNB,$20.2,1439682905183,12,133
ACTS,$1.57,1439682905242,17,679
ACOR,$31.84,1439682905315,146,788
ATVI,$28.6766,1439682905530,1,426,727
ACTA,$13.65,1439682905540,87,725
ACPW,$1.92,1439682905550,26,789
ADMS,$22.15,1439682905578,68,231
ACUR,$0.66,1439682905588,12,742
ACXM,$21.16,1439682905691,163,423
ADMP,$3.49,1439682905754,43,459
ADAP,$14.36,1439682905764,65,347
ADUS,$28.7,1439682905937,31,604
AEY,$2.38,1439682905981,372
ADBE,$86.12,1439682906045,1,488,568
ADTN,$15.95,1439682906119,966,602
ADMA,$9.31,1439682906140,6,927
ADEP,$7.17,1439682906197,23,908
AEIS,$26.64,1439682906307,69,176
AMD,$1.84,1439682906326,4,424,699
ADRO,$20.83,1439682906364,165,437
ADXS,$16.7101,1439682906383,752,304
ADXSW,$11.8,1439682906525,14,645
YPRO,$23.04,1439682906585,9,376
AEGR,$17.98,1439682906717,572,297
AEGN,$19.05,1439682906727,123,840
AEHR,$2.25,1439682906744,3,082
AEPI,$57.37,1439682906922,21,296
AMTX,$3.45,1439682906957,24,341
AERI,$15.37,1439682906975,324,248
AEZS,$0.1499,1439682907038,13,347,466
AVAV,$26.28,1439682907048,73,093
AEMD,$6.99,1439682907159,55,905
AFMD,$11.15,1439682907169,334,621
AFFX,$9.64,1439682907266,488,622
AGEN,$7.27,1439682907310,586,801
AGRX,$9.06,1439682907414,32,532
AGIO,$90.75,1439682907433,345,968
AGYS,$9.38,1439682907474,30,967
AGFS,$10.85,1439682907653,74,835
AIMT,$26.05,1439682907663,232,264
AIRM,$39.93,1439682907683,106,084
AGFSW,$2.34,1439682907743,25,900
